,Spectral entropy,Spectral entropy,Effective rank,Effective rank,Angular alignment,Angular alignment,Selectivity index,Selectivity index,Spectral sparsity,Spectral sparsity,Perturbation robustness,Perturbation robustness
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epoch,,,,,,,,,,,,
82,3.067045,0.48347712,23.62199,9.513599,-0.17913687,0.5389131,0.99851346,0.00018460733,0.088541664,0.06740047,5.561843935408817e-08,3.1351318286222593e-08
83,3.0655527,0.4840436,23.592182,9.513497,-0.18929157,0.54158527,0.9985113,0.00018661056,0.095052086,0.082625024,5.351263904218584e-08,2.7686912923049873e-08
84,3.0640512,0.48463503,23.562386,9.513508,-0.20097783,0.5289569,0.9985091,0.0001875593,0.108072914,0.081301175,5.2852402343539495e-08,2.9328612733902505e-08
85,3.0625906,0.48532254,23.5344,9.515591,-0.17946696,0.56339115,0.9985082,0.00018947716,0.08203125,0.06738706,5.341911807343891e-08,2.991001484199894e-08
86,3.0611935,0.4859411,23.507376,9.517024,-0.20542294,0.53462636,0.99850655,0.00019138577,0.087239586,0.07265578,5.017038534615992e-08,2.532536237829335e-08
87,3.0598645,0.4866197,23.48239,9.519805,-0.21599193,0.5292864,0.9985052,0.00019436613,0.100260414,0.061434787,5.6149388971693526e-08,2.617835659443956e-08
88,3.0584056,0.48717964,23.45334,9.518711,-0.22089446,0.5167802,0.9985046,0.00019432126,0.108072914,0.061434787,5.2932770666647144e-08,2.7355311743993512e-08
89,3.0571218,0.48778,23.428707,9.519662,-0.20395008,0.5284086,0.9985034,0.00019418487,0.1015625,0.069253206,5.7917200368962085e-08,3.0403028401377355e-08
90,3.055637,0.48835626,23.399216,9.518412,-0.2040097,0.5319399,0.99850297,0.00019347282,0.095052086,0.06845211,6.269491265031846e-08,3.648361646979761e-08
91,3.0543308,0.48890215,23.373552,9.517299,-0.20734435,0.53557086,0.9985,0.0001983658,0.0859375,0.056863934,5.4093964196866295e-08,2.9720452545515485e-08
92,3.0528505,0.48943698,23.343845,9.514899,-0.2214762,0.52625597,0.9984975,0.00019985977,0.102864586,0.07032857,6.257453699642923e-08,3.5987980496197034e-08
93,3.0514753,0.49004003,23.317112,9.514345,-0.20344055,0.5332834,0.99849963,0.00019887174,0.087239586,0.06897847,6.055227819157238e-08,3.477908500779489e-08
94,3.0501428,0.490453,23.289816,9.51042,-0.2295907,0.5141994,0.9984952,0.00020276755,0.1015625,0.07564346,5.710251754775797e-08,2.8313848391875464e-08
95,3.0486643,0.4908866,23.259098,9.504289,-0.21522313,0.5247647,0.99849737,0.00020133895,0.1015625,0.084325686,5.5057343073539045e-08,2.872356549214309e-08
96,3.0471926,0.49127236,23.228365,9.498293,-0.23414098,0.517939,0.998492,0.00020577293,0.0859375,0.057370525,6.496782595233341e-08,3.891394205000463e-08
97,3.0456867,0.49168044,23.1968,9.490789,-0.20963505,0.52522874,0.9984931,0.00020553733,0.095052086,0.064535715,5.82198764198516e-08,3.398329083920478e-08
98,3.0442107,0.49204582,23.165483,9.482244,-0.21409334,0.52200156,0.9984922,0.00020518992,0.1015625,0.07790478,5.879193987201603e-08,3.3831087158139124e-08
99,3.0427165,0.49248686,23.134579,9.475447,-0.235015,0.5092438,0.9984887,0.00020890556,0.08203125,0.061080527,6.00243280080015e-08,3.467303205960154e-08
